pair,record,side,shot,tilt,photo_file,marks,size_note,width,height
aish_hasid_hih_sidea_shot1_tilt1-2,aish_hasid_hih,a,1,1-2,aish_hasid_hih_sideA_shot1_tilt1-2.jpg,0,same size,3024,4032
aish_hasid_hih_sidea_shot2_tilt0-3,aish_hasid_hih,a,2,0-3,aish_hasid_hih_sideA_shot2_tilt0-3.jpg,0,same size,3024,4032
aish_hasid_hih_sideb_shot1_tilt1-2,aish_hasid_hih,b,1,1-2,aish_hasid_hih_sideB_shot1_tilt1-2.jpg,0,same size,3024,4032
aish_hasid_hih_sideb_shot2_tilt0-1,aish_hasid_hih,b,2,0-1,aish_hasid_hih_sideB_shot2_tilt0-1.jpg,1,resized,1620,2160
baldi_olier_sidea_shot1_tilt2-1,baldi_olier,a,1,2-1,baldi_olier_sideA_shot1_tilt2-1.jpg,0,resized,1620,2160
baldi_olier_sidea_shot2_tilt0-3,baldi_olier,a,2,0-3,baldi_olier_sideA_shot2_tilt0-3.jpg,1,resized,1620,2160
baldi_olier_sideb_shot1_tilt1-2,baldi_olier,b,1,1-2,baldi_olier_sideB_shot1_tilt1-2.jpg,0,same size,3024,4032
baldi_olier_sideb_shot2_tilt2-2,baldi_olier,b,2,2-2,baldi_olier_sideB_shot2_tilt2-2.jpg,0,same size,3024,4032
brenda lee all alone am i_sidea_shot1_tilt2-2,brenda lee all alone am i,a,1,2-2,brenda lee all alone am I_sideA_shot1_tilt2-2.JPG,29,resized,3024,4032
brenda lee all alone am i_sidea_shot2_tilt0-2,brenda lee all alone am i,a,2,0-2,brenda lee all alone am I_sideA_shot2_tilt0-2.JPG,34,resized,3024,4032
brenda lee all alone am i_sideb_shot1_tilt2-1,brenda lee all alone am i,b,1,2-1,brenda lee all alone am I_sideB_shot1_tilt2-1.JPG,18,resized,3024,4032
brenda lee all alone am i_sideb_shot2_tilt1-2,brenda lee all alone am i,b,2,1-2,brenda lee all alone am I_sideB_shot2_tilt1-2.JPG,37,resized,3024,4032
clasical_sidea_shot1_tilt2-3,clasical,a,1,2-3,clasical_sideA_shot1_tilt2-3.jpg,0,resized,1620,2160
clasical_sidea_shot2_tilt1-2,clasical,a,2,1-2,clasical_sideA_shot2_tilt1-2.jpg,0,same size,3024,4032
clasical_sideb_shot2_tilt1-2,clasical,b,2,1-2,clasical_sideB_shot2_tilt1-2.jpg,0,same size,3024,4032
clasical_sideb_shot3_tilt0-1,clasical,b,3,0-1,clasical_sideB_shot3_tilt0-1.jpg,0,same size,3024,4032
dianyland_sidea_shot1_tilt0-2,dianyland,a,1,0-2,dianyland_sideA_shot1_tilt0-2.jpg,2,resized,1620,2160
dianyland_sidea_shot2_tilt2-2,dianyland,a,2,2-2,dianyland_sideA_shot2_tilt2-2.jpg,2,resized,1620,2160
dianyland_sideb_shot1_tilt0-3,dianyland,b,1,0-3,dianyland_sideB_shot1_tilt0-3.jpg,3,resized,1620,2160
dianyland_sideb_shot2_tilt0-2,dianyland,b,2,0-2,dianyland_sideB_shot2_tilt0-2.jpg,2,resized,1620,2160
festival_hazemer_sidea_shot1_tilt1-3,festival_hazemer,a,1,1-3,festival_hazemer_sideA_shot1_tilt1-3.jpg,14,resized,1620,2160
festival_hazemer_sidea_shot2_tilt0-1,festival_hazemer,a,2,0-1,festival_hazemer_sideA_shot2_tilt0-1.jpg,15,resized,1620,2160
festival_hazemer_sideb_shot1_tilt0-2,festival_hazemer,b,1,0-2,festival_hazemer_sideB_shot1_tilt0-2.jpg,15,resized,1620,2160
festival_hazemer_sideb_shot2_tilt1-1,festival_hazemer,b,2,1-1,festival_hazemer_sideB_shot2_tilt1-1.jpg,14,resized,1620,2160
festival_shiri_6_sidea_shot1_tilt1-2,festival_shiri_6,a,1,1-2,festival_shiri_6_sideA_shot1_tilt1-2.jpg,1,resized,1620,2160
festival_shiri_6_sidea_shot2_tilt0-3,festival_shiri_6,a,2,0-3,festival_shiri_6_sideA_shot2_tilt0-3.jpg,2,resized,1620,2160
festival_shiri_6_sideb_shot2_tilt2-2,festival_shiri_6,b,2,2-2,festival_shiri_6_sideB_shot2_tilt2-2.jpg,1,resized,1620,2160
festival_shiri_6_sideb_shot3_tilt1-2,festival_shiri_6,b,3,1-2,festival_shiri_6_sideB_shot3_tilt1-2.jpg,5,resized,1620,2160
festival_shiri_9_sidea_shot1_tilt1-2,festival_shiri_9,a,1,1-2,festival_shiri_9_sideA_shot1_tilt1-2.jpg,2,resized,1620,2160
festival_shiri_9_sidea_shot2_tilt1-2,festival_shiri_9,a,2,1-2,festival_shiri_9_sideA_shot2_tilt1-2.jpg,3,resized,1620,2160
festival_shiri_9_sideb_shot2_tilt0-3,festival_shiri_9,b,2,0-3,festival_shiri_9_sideB_shot2_tilt0-3.jpg,2,resized,1620,2160
festival_shiri_9_sideb_shot3_tilt0-3,festival_shiri_9,b,3,0-3,festival_shiri_9_sideB_shot3_tilt0-3.jpg,1,resized,1620,2160
gvirti_hanaava2_sidea_shot1_tilt0-2,gvirti_hanaava2,a,1,0-2,gvirti_hanaava2_sideA_shot1_tilt0-2.jpg,1,resized,1620,2160
gvirti_hanaava2_sidea_shot2_tilt1-2,gvirti_hanaava2,a,2,1-2,gvirti_hanaava2_sideA_shot2_tilt1-2.jpg,0,same size,3024,4032
gvirti_hanaava2_sideb_shot1_tilt0-2,gvirti_hanaava2,b,1,0-2,gvirti_hanaava2_sideB_shot1_tilt0-2.jpg,0,resized,1620,2160
gvirti_hanaava2_sideb_shot2_tilt1-2,gvirti_hanaava2,b,2,1-2,gvirti_hanaava2_sideB_shot2_tilt1-2.jpg,1,resized,1620,2160
